state,country,recordDate,totalConfirmed,totalDeaths,totalRecovered,id,newConfirmed,newDeaths,newRecovered
Idaho,United States,2020-01-22,0,0,0,1257338777,0,0,0
Idaho,United States,2020-01-23,0,0,0,-642562726,0,0,0
Idaho,United States,2020-01-24,0,0,0,716991175,0,0,0
Idaho,United States,2020-01-25,0,0,0,1350807152,0,0,0
Idaho,United States,2020-01-26,0,0,0,168882653,0,0,0
Idaho,United States,2020-01-27,0,0,0,2070371013,0,0,0
Idaho,United States,2020-01-28,0,0,0,1873529081,0,0,0
Idaho,United States,2020-01-29,0,0,0,-827927346,0,0,0
Idaho,United States,2020-01-30,0,0,0,-743821192,0,0,0
Idaho,United States,2020-01-31,0,0,0,-613480840,0,0,0
Idaho,United States,2020-02-01,0,0,0,-1736958813,0,0,0
Idaho,United States,2020-02-02,0,0,0,1867475280,0,0,0
Idaho,United States,2020-02-03,0,0,0,1639209086,0,0,0
Idaho,United States,2020-02-04,0,0,0,506297395,0,0,0
Idaho,United States,2020-02-05,0,0,0,1371414080,0,0,0
Idaho,United States,2020-02-06,0,0,0,-341894051,0,0,0
Idaho,United States,2020-02-07,0,0,0,1069009540,0,0,0
Idaho,United States,2020-02-08,0,0,0,-1070547952,0,0,0
Idaho,United States,2020-02-09,0,0,0,1274952358,0,0,0
Idaho,United States,2020-02-10,0,0,0,-249239435,0,0,0
Idaho,United States,2020-02-11,0,0,0,-504546653,0,0,0
Idaho,United States,2020-02-12,0,0,0,2123684917,0,0,0
Idaho,United States,2020-02-13,0,0,0,-778197243,0,0,0
Idaho,United States,2020-02-14,0,0,0,-346911720,0,0,0
Idaho,United States,2020-02-15,0,0,0,1990384649,0,0,0
Idaho,United States,2020-02-16,0,0,0,1932330502,0,0,0
Idaho,United States,2020-02-17,0,0,0,1990221046,0,0,0
Idaho,United States,2020-02-18,0,0,0,175552565,0,0,0
Idaho,United States,2020-02-19,0,0,0,1909401782,0,0,0
Idaho,United States,2020-02-20,0,0,0,-1323968415,0,0,0
Idaho,United States,2020-02-21,0,0,0,-1924735549,0,0,0
Idaho,United States,2020-02-22,0,0,0,1078212499,0,0,0
Idaho,United States,2020-02-23,0,0,0,-1815974386,0,0,0
Idaho,United States,2020-02-24,0,0,0,632290059,0,0,0
Idaho,United States,2020-02-25,0,0,0,1548917928,0,0,0
Idaho,United States,2020-02-26,0,0,0,811383046,0,0,0
Idaho,United States,2020-02-27,0,0,0,2142954781,0,0,0
Idaho,United States,2020-02-28,0,0,0,-253248682,0,0,0
Idaho,United States,2020-02-29,0,0,0,1984879158,0,0,0
Idaho,United States,2020-03-01,0,0,0,-101349302,0,0,0
